scenario,penetration_pct,seed,n_evs,hour,v_min,v_max,v_min_all,v_max_all,xfmr_pct,converged
base,30,5,754,7,0.98594243339483,1.046052557495405,0.9845877288165459,1.046052557495405,45.662197690675804,True
base,30,5,754,8,0.9852015933959875,1.0493721111784329,0.9786464332917139,1.0493721111784329,54.950090706681685,True
base,30,5,754,9,0.9953262245752094,1.0435584722665812,0.983056101405811,1.0435584722665812,47.217705760851786,True
base,30,5,754,10,0.9959389523807238,1.0400306515808742,0.9867028769088058,1.0400306515808742,41.44743090744876,True
base,30,5,754,11,0.9968672679073858,1.0415082059799432,0.9872388852862451,1.0415082059799432,40.66102691692048,True
base,30,5,754,12,0.9919573808312754,1.0382048794939893,0.9880274187453787,1.0382048794939893,40.069626502339695,True
base,30,5,754,13,0.9928783169008293,1.0390152045844103,0.9885590898992875,1.0390152045844103,39.29531935836066,True
base,30,5,754,14,0.9937973194296552,1.0398223324890048,0.9890894697506832,1.0398223324890048,38.524505602973385,True
base,30,5,754,15,0.984083734203298,1.040385755117455,0.9809552357034337,1.040385755117455,51.75195122028276,True
base,30,5,754,16,0.979849849837792,1.049323588847163,0.971821116707378,1.049323588847163,68.25536655130547,True
base,30,5,754,17,0.9721767066557339,1.0571500024420628,0.956486909043755,1.0597688232868472,96.19404481102168,True
base,30,5,754,18,0.9703305971794709,1.0570834100541149,0.9561894765918149,1.0597280268249754,100.5430156334261,True
base,30,5,754,19,0.9762694037047608,1.0586716250918078,0.9585163547159881,1.0612023895686122,96.65921427801221,True
base,30,5,754,20,0.9840008565722186,1.052370666496158,0.966636718111451,1.054398290602669,82.86808629923095,True
base,30,5,754,21,0.9905010419408705,1.045825963965242,0.9741757837762264,1.0473425546771638,69.53815483912594,True
base,30,5,754,22,0.9946374973234353,1.0386848080941675,0.9806925544159383,1.0396743017432148,57.4772179532143,True
base,30,5,754,23,0.9950831522482401,1.038139402881472,0.9866961548916099,1.038139402881472,46.929015480051014,True
base,40,1,1005,0,0.9839954303875745,1.0474663420346768,0.9839954303875745,1.0474663420346768,42.02464414646539,True
base,40,1,1005,1,0.9895373672981995,1.0466542691211886,0.9895373672981995,1.0466542691211886,37.5365951926498,True
base,40,1,1005,2,0.993741434624774,1.0475683890052803,0.993741434624774,1.0475683890052803,33.85103973652307,True
base,40,1,1005,3,0.9990687419725537,1.0457180768956469,0.9962849821187062,1.0457180768956469,29.53691841647303,True
base,40,1,1005,4,0.995444388604303,1.0419665108424006,0.9945077671024469,1.0419665108424006,30.86385174161428,True
base,40,1,1005,5,0.9896998567180938,1.0379687051364135,0.9896998567180938,1.0379687051364135,34.498675032174866,True
base,40,1,1005,6,0.9853068805542063,1.0349000847068317,0.9853068805542063,1.0349000847068317,37.520086174707416,True
base,40,1,1005,7,0.9853217712799902,1.0457797763681145,0.9844161511968098,1.0457797763681145,46.4093488870668,True
